id,user,uid,version,changeset,timestamp
8779418,Johnny Mapperseed,1723055,6,36504739,2016-01-11T14:29:13Z
8779419,smlyons77,953610,4,29797359,2015-03-28T01:45:50Z
8779422,smlyons77,953610,3,15247897,2013-03-04T15:53:05Z
8779423,smlyons77,953610,4,16064114,2013-05-10T14:42:46Z
8779425,smlyons77,953610,3,15498319,2013-03-26T01:29:48Z
8779426,smlyons77,953610,3,15443624,2013-03-21T15:11:03Z
8779427,smlyons77,953610,3,15444792,2013-03-21T16:31:21Z
8779429,smlyons77,953610,4,41602730,2016-08-21T22:46:58Z
8779433,smlyons77,953610,3,15861044,2013-04-25T13:39:40Z
8779434,smlyons77,953610,3,15412473,2013-03-18T20:03:03Z
8779436,smlyons77,953610,3,15412473,2013-03-18T19:48:28Z
8779438,smlyons77,953610,2,15253452,2013-03-05T00:39:28Z
8779441,smlyons77,953610,4,17102838,2013-07-26T15:06:15Z
8779443,smlyons77,953610,4,16064114,2013-05-10T13:32:07Z
8779444,smlyons77,953610,4,16064114,2013-05-10T13:32:07Z
8779445,smlyons77,953610,3,15583474,2013-04-02T16:11:59Z
8779447,smlyons77,953610,3,33326792,2015-08-13T23:22:29Z
8779448,smlyons77,953610,2,13583998,2012-10-21T19:40:39Z
8779449,smlyons77,953610,3,15444792,2013-03-21T16:40:15Z
8779450,smlyons77,953610,3,14181554,2012-12-07T00:25:18Z
8779459,bot-mode,451693,2,14497618,2013-01-02T10:53:28Z
8779460,smlyons77,953610,3,15498319,2013-03-26T01:56:24Z
8779471,smlyons77,953610,19,40438157,2016-07-02T13:31:50Z
8779472,claysmalley,119881,6,15322806,2013-03-10T23:43:28Z
8779476,ediyes,1240849,6,31474499,2015-05-26T14:35:20Z
8779478,claysmalley,119881,6,15322806,2013-03-10T23:43:29Z
8779479,bot-mode,451693,2,15792154,2013-04-20T02:01:14Z
8779480,smlyons77,953610,2,14301971,2012-12-17T05:04:58Z
8779482,smlyons77,953610,3,19292560,2013-12-05T16:55:44Z
8779485,smlyons77,953610,3,15503289,2013-03-26T14:27:28Z
8779486,bot-mode,451693,2,15792154,2013-04-20T02:01:15Z
8779489,bot-mode,451693,5,15792154,2013-04-20T02:01:15Z
8779491,smlyons77,953610,3,16057414,2013-05-10T01:25:39Z
8779493,smlyons77,953610,3,16057414,2013-05-10T01:25:39Z
8779495,smlyons77,953610,3,40405109,2016-06-30T23:46:33Z
8779497,smlyons77,953610,3,15498319,2013-03-26T01:18:19Z
8779498,bot-mode,451693,3,15792154,2013-04-20T02:01:16Z
8779501,dannykath,2226712,5,31845446,2015-06-09T14:15:21Z
8779506,smlyons77,953610,11,18001177,2013-09-24T01:04:01Z
8779508,smlyons77,953610,3,14419697,2012-12-27T00:02:36Z
8779515,smlyons77,953610,11,21016842,2014-03-10T00:04:51Z
8779519,smlyons77,953610,3,15414512,2013-03-18T23:13:44Z
8779534,smlyons77,953610,3,15410045,2013-03-18T17:16:55Z
